task,group,completed,score,steps_proposed,repairs,validation_errors,undetected_errors,tokens_used,runtime_ms
spaceship_titanic,Control (G),0.5,0.3079540229885057,8.0,0.0,0.0,1.9,0.0,40.0
spaceship_titanic,Treatment A (G + DFA),0.9,0.569997,13.5,2.8,2.8,0.0,0.0,67.5
spaceship_titanic,Treatment B (G + LLM),1.0,0.3079540229885057,9.9,2.3,2.3,1.4,11880.0,14850.0
synthetic_classification,Control (G),0.6,0.4971052631578948,8.0,0.0,0.0,1.7,0.0,40.0
synthetic_classification,Treatment A (G + DFA),0.9,0.817,13.5,2.8,2.8,0.0,0.0,67.5
synthetic_classification,Treatment B (G + LLM),1.0,0.4971052631578948,9.7,2.1,2.1,1.1,11640.0,14550.0
wine_quality,Control (G),0.6,0.2512118018967334,8.0,0.0,0.0,1.7,0.0,40.0
wine_quality,Treatment A (G + DFA),0.9,0.346158,13.5,2.8,2.8,0.0,0.0,67.5
wine_quality,Treatment B (G + LLM),1.0,0.2512118018967334,9.7,2.1,2.1,1.1,11640.0,14550.0
